scenario,m,b,L,c_s,c_d,d_b,d_m,d,b_l,b_u,local_term,delegate_term,decision,paper_decision,gamma_set
S1,0.9,0.5,3072,0.7479509093218957,0.23393972058572116,1.0,1.0,0.0,2.302585092994046,1.203972804325936,1.7222206140959384,0.0,delegate,delegate,paper_baseline
S2,0.1,0.5,3072,0.4721983347279921,0.6339397205857211,1.0,0.23,0.77,2.302585092994046,1.203972804325936,0.2500736746906961,0.587699561038737,local stage,local stage,paper_baseline
S3,0.1,0.3,1024,0.5117817588885577,0.6339397205857211,1.0,0.23,0.77,,0.6931471805599453,,,delegate,delegate (barrier b_l),paper_baseline
S1,0.9,0.5,3072,0.7340084537705482,0.28171311781667996,1.0,1.0,0.0,2.302585092994046,1.203972804325936,1.6901169237836737,0.0,delegate,delegate,balanced_rms
S2,0.1,0.5,3072,0.40393719450005516,0.53904178171998,1.0,0.23,0.77,2.302585092994046,1.203972804325936,0.21392294538918258,0.4997235671014151,local stage,local stage,balanced_rms
S3,0.1,0.3,1024,0.4513178968494605,0.53904178171998,1.0,0.23,0.77,,0.6931471805599453,,,delegate,delegate (barrier b_l),balanced_rms
