battery_soc,memory_usage,t_s,T_s1,T_s2,T_d1,T_d2
0.4,0.0,0,0.4965853037914095,0.0,1.0,0.1353352832366127
0.4,0.0,1,0.8187307530779818,0.0,1.0,0.36787944117144233
0.4,0.05,0,0.4965853037914095,0.07916684832113109,0.95,0.1353352832366127
0.4,0.05,1,0.8187307530779818,0.07916684832113109,0.95,0.36787944117144233
0.4,0.1,0,0.4965853037914095,0.15595826075473865,0.9,0.1353352832366127
0.4,0.1,1,0.8187307530779818,0.15595826075473865,0.9,0.36787944117144233
0.4,0.15000000000000002,0,0.4965853037914095,0.22840050243981627,0.85,0.1353352832366127
0.4,0.15000000000000002,1,0.8187307530779818,0.22840050243981627,0.85,0.36787944117144233
0.4,0.2,0,0.4965853037914095,0.2951672353008665,0.8,0.1353352832366127
0.4,0.2,1,0.8187307530779818,0.2951672353008665,0.8,0.36787944117144233
0.4,0.25,0,0.4965853037914095,0.35561536897870555,0.75,0.1353352832366127
0.4,0.25,1,0.8187307530779818,0.35561536897870555,0.75,0.36787944117144233
0.4,0.30000000000000004,0,0.4965853037914095,0.4096655293982669,0.7,0.1353352832366127
0.4,0.30000000000000004,1,0.8187307530779818,0.4096655293982669,0.7,0.36787944117144233
0.4,0.35000000000000003,0,0.4965853037914095,0.45762139073010716,0.65,0.1353352832366127
0.4,0.35000000000000003,1,0.8187307530779818,0.45762139073010716,0.65,0.36787944117144233
0.4,0.4,0,0.4965853037914095,0.5,0.6,0.1353352832366127
0.4,0.4,1,0.8187307530779818,0.5,0.6,0.36787944117144233
0.4,0.45,0,0.4965853037914095,0.5374051184825535,0.55,0.1353352832366127
0.4,0.45,1,0.8187307530779818,0.5374051184825535,0.55,0.36787944117144233
0.4,0.5,0,0.4965853037914095,0.5704465749545545,0.5,0.1353352832366127
0.4,0.5,1,0.8187307530779818,0.5704465749545545,0.5,0.36787944117144233
0.4,0.55,0,0.4965853037914095,0.5996958512766266,0.44999999999999996,0.1353352832366127
0.4,0.55,1,0.8187307530779818,0.5996958512766266,0.44999999999999996,0.36787944117144233
0.4,0.6000000000000001,0,0.4965853037914095,0.6256659163780024,0.4,0.1353352832366127
0.4,0.6000000000000001,1,0.8187307530779818,0.6256659163780024,0.4,0.36787944117144233
0.4,0.65,0,0.4965853037914095,0.6488055305972344,0.35,0.1353352832366127
0.4,0.65,1,0.8187307530779818,0.6488055305972344,0.35,0.36787944117144233
0.4,0.7000000000000001,0,0.4965853037914095,0.6695013189228641,0.30000000000000004,0.1353352832366127
0.4,0.7000000000000001,1,0.8187307530779818,0.6695013189228641,0.30000000000000004,0.36787944117144233
0.4,0.75,0,0.4965853037914095,0.6880834784905228,0.25,0.1353352832366127
0.4,0.75,1,0.8187307530779818,0.6880834784905228,0.25,0.36787944117144233
0.4,0.8,0,0.4965853037914095,0.7048327646991335,0.19999999999999996,0.1353352832366127
0.4,0.8,1,0.8187307530779818,0.7048327646991335,0.19999999999999996,0.36787944117144233
0.4,0.8500000000000001,0,0.4965853037914095,0.719987515050277,0.15000000000000002,0.1353352832366127
0.4,0.8500000000000001,1,0.8187307530779818,0.719987515050277,0.15000000000000002,0.36787944117144233
0.4,0.9,0,0.4965853037914095,0.733750122504687,0.09999999999999998,0.1353352832366127
0.4,0.9,1,0.8187307530779818,0.733750122504687,0.09999999999999998,0.36787944117144233
0.4,0.9500000000000001,0,0.4965853037914095,0.7462927313564718,0.050000000000000044,0.1353352832366127
0.4,0.9500000000000001,1,0.8187307530779818,0.7462927313564718,0.050000000000000044,0.36787944117144233
0.4,1.0,0,0.4965853037914095,0.7577621168183132,0.0,0.1353352832366127
0.4,1.0,1,0.8187307530779818,0.7577621168183132,0.0,0.36787944117144233
0.42000000000000004,0.0,0,0.4965853037914095,0.0,1.0,0.1353352832366127
0.42000000000000004,0.0,1,0.8187307530779818,0.0,1.0,0.36787944117144233
0.42000000000000004,0.05,0,0.4965853037914095,0.07543305082709767,0.95,0.1353352832366127
0.42000000000000004,0.05,1,0.8187307530779818,0.07543305082709767,0.95,0.36787944117144233
