criterion,gamma_s_1,gamma_s_2,gamma_d_1,gamma_d_2
paper_baseline,0.5,0.5,0.5,0.5
balanced_mean,0.3805617490127624,0.6194382509872376,0.33475904422517816,0.6652409557748218
balanced_std,0.5630630944482924,0.4369369055517076,0.27747441689081853,0.7225255831091815
balanced_rms,0.4015082909804491,0.598491709019551,0.3216608298791249,0.6783391701208751
balanced_grid,0.381,0.619,0.335,0.665
